hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	model_value	baseline_value	delta	interpretation
H1_spot_interaction_receptor_layer	cold_phage	ordered_domain_structural_architecture_increment_over_rbpbase	ordered_domain_structural_architecture_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.059756	0.071841	-0.012085	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	ordered_domain_structural_architecture_vs_genome_similarity	ordered_domain_structural_architecture_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.059756	0.186960	-0.127204	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.131389	0.071841	0.059548	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	0.140811	0.131389	0.009422	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.140811	0.186960	-0.046149	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.131389	0.186960	-0.055571	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	rbpbase_increment_over_host_KO	rbpbase_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.064114	0.050279	0.013835	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_rbpbase_increment_over_exact_rbpbase	rbpbase_boundary_reviewed_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.060899	0.064114	-0.003215	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.060899	0.050279	0.010620	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.098796	0.064114	0.034682	Model has higher pooled AP than baseline in this exploratory split.
